function,k_factor,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time,mean_adaptive_threshold,n_domain_resets,min_domain_size,max_domain_size
hartmann3d,0.7,8,-3.815627395554648,0.047152604445352075,630,520,9.669604063034058,0.06405316177469461,1,25,8000
hartmann3d,0.7,9,-3.805654515662115,0.057125484337885,630,500,8.85556435585022,0.06618396891937928,1,12,8000
hartmann3d,0.9,0,-3.6544371647352314,0.2083428352647685,630,8000,8.63097882270813,0.13847405212932135,1,5,8000
hartmann3d,0.9,1,-3.815627395554648,0.047152604445352075,630,587,8.944267272949219,0.08141371718151304,1,6,8000
hartmann3d,0.9,2,-3.4448406090712282,0.41793939092877164,630,700,8.898985624313354,0.06086270858556292,1,12,8000
hartmann3d,0.9,3,-3.735886972378765,0.126893027621235,630,522,7.978872537612915,0.11186453150571411,1,12,8000
hartmann3d,0.9,4,-3.119379725627908,0.743400274372092,630,492,9.09900975227356,0.07340861673575097,1,20,8000
hartmann3d,0.9,5,-3.7137584193264574,0.14902158067354243,630,665,9.410997867584229,0.08816128203167327,1,14,8000
hartmann3d,0.9,6,-3.6777157232729936,0.18506427672700632,630,8000,9.183149099349976,0.18335736134768293,1,5,8000
hartmann3d,0.9,7,-3.824362379680076,0.038417620319923795,630,504,9.948164939880371,0.1381107608998336,1,13,8000
hartmann3d,0.9,8,-3.4932513820177045,0.3695286179822954,630,583,9.56518030166626,0.08177224029975713,1,14,8000
hartmann3d,0.9,9,-3.805654515662115,0.057125484337885,630,500,8.750162839889526,0.07148561559720973,1,12,8000
hartmann3d,1.0,0,-3.6544371647352314,0.2083428352647685,630,8000,9.23718523979187,0.14348819150067363,1,5,8000
hartmann3d,1.0,1,-3.815627395554648,0.047152604445352075,630,587,9.70946478843689,0.08455682766729335,1,6,8000
hartmann3d,1.0,2,-3.4448406090712282,0.41793939092877164,630,700,9.61214542388916,0.06320520262420744,1,12,8000
hartmann3d,1.0,3,-3.735886972378765,0.126893027621235,630,522,8.166204929351807,0.11506986654634008,1,12,8000
hartmann3d,1.0,4,-3.6476890657155354,0.21509093428446446,630,633,9.446181058883667,0.11018172246455664,1,9,8000
hartmann3d,1.0,5,-3.7137584193264574,0.14902158067354243,630,665,9.532777547836304,0.09120623468183155,1,14,8000
hartmann3d,1.0,6,-3.5909597595528573,0.2718202404471426,630,504,9.21161699295044,0.1287189624644108,1,7,8000
hartmann3d,1.0,7,-3.824362379680076,0.038417620319923795,630,504,9.454831600189209,0.14162634264657054,1,13,8000
hartmann3d,1.0,8,-3.644624114370794,0.21815588562920585,630,588,8.802639484405518,0.11318947302682622,1,6,8000
hartmann3d,1.0,9,-3.2879514068444853,0.5748285931555146,630,67,8.05782413482666,0.03580624282262002,1,46,8000
ackley2d,0.3,0,3.1647766675894684,3.1647766675894684,630,267,9.388067722320557,0.043237611446138455,1,14,2500
ackley2d,0.3,1,2.762250224742701,2.762250224742701,630,2500,10.384748458862305,0.06174149959202344,1,8,2500
ackley2d,0.3,2,2.8602761817469475,2.8602761817469475,630,2500,10.521949052810669,0.07456588081883303,1,6,2500
ackley2d,0.3,3,3.7090751210667716,3.7090751210667716,630,2500,9.979613304138184,0.07291388863617317,1,6,2500
ackley2d,0.3,4,3.1094973025155785,3.1094973025155785,630,2500,10.821699857711792,0.05875120539133788,1,7,2500
ackley2d,0.3,5,4.893697727420008,4.893697727420008,630,2500,10.206393003463745,0.0808941396739548,1,5,2500
ackley2d,0.3,6,2.698705196570334,2.698705196570334,630,2500,10.687563419342041,0.05813140057539949,1,7,2500
ackley2d,0.3,7,2.755731254526563,2.755731254526563,630,2500,9.675787687301636,0.08549914136981301,1,5,2500
ackley2d,0.3,8,4.540902422752168,4.540902422752168,630,2500,10.424875259399414,0.06861874400756775,1,5,2500
ackley2d,0.3,9,2.8602761817469475,2.8602761817469475,630,2500,10.248945713043213,0.0761300311332747,1,6,2500
ackley2d,0.5,0,3.1647766675894684,3.1647766675894684,630,267,9.221909284591675,0.04997045393602736,1,14,2500
ackley2d,0.5,1,3.292677625294026,3.292677625294026,630,200,9.622594594955444,0.049992068203137306,1,13,2500
ackley2d,0.5,2,4.893697727420008,4.893697727420008,630,311,10.186177730560303,0.04194021829763938,1,15,2500
ackley2d,0.5,3,5.7317852938208205,5.7317852938208205,630,93,10.255357503890991,0.031074811744382664,1,23,2500
ackley2d,0.5,4,6.319771964579324,6.319771964579324,630,340,10.299108266830444,0.06381466220525436,1,6,2500
ackley2d,0.5,5,4.369336368259198,4.369336368259198,630,257,9.851727724075317,0.04888940366737611,1,11,2500
ackley2d,0.5,6,2.762250224742701,2.762250224742701,630,2500,10.382283449172974,0.095910294624418,1,6,2500
ackley2d,0.5,7,5.354414383148633,5.354414383148633,630,89,10.342257976531982,0.040515881258749234,1,44,2500
ackley2d,0.5,8,0.5434821566346213,0.5434821566346213,630,220,10.581515312194824,0.07013879709449104,1,5,2500
ackley2d,0.5,9,4.598354473002942,4.598354473002942,630,283,9.998062372207642,0.05280719845931242,1,13,2500
ackley2d,0.7,0,4.291571865559561,4.291571865559561,630,232,9.987853765487671,0.07287897353722528,1,8,2500
ackley2d,0.7,1,3.292677625294026,3.292677625294026,630,200,9.131101846694946,0.056318694833573046,1,13,2500
ackley2d,0.7,2,4.893697727420008,4.893697727420008,630,177,10.75929045677185,0.0663982456653611,1,7,2500
ackley2d,0.7,3,5.7317852938208205,5.7317852938208205,630,93,10.152893781661987,0.035879291350206816,1,23,2500
ackley2d,0.7,4,6.319771964579324,6.319771964579324,630,340,9.719136238098145,0.06922123784146847,1,6,2500
ackley2d,0.7,5,2.354335340895578,2.354335340895578,630,212,10.255611896514893,0.06536163462298138,1,8,2500
ackley2d,0.7,6,3.1094973025155785,3.1094973025155785,630,252,10.029473066329956,0.07688574335634234,1,7,2500
ackley2d,0.7,7,5.354414383148633,5.354414383148633,630,34,10.63528847694397,0.04736281362921123,1,34,2500
ackley2d,0.7,8,4.569186184433306,4.569186184433306,630,23,10.975101709365845,0.030924890105288805,1,23,2500
ackley2d,0.7,9,0.5434821566346213,0.5434821566346213,630,190,9.848075151443481,0.07443498789251302,1,9,2500
ackley2d,0.9,0,4.291571865559561,4.291571865559561,630,232,10.30986738204956,0.0823161482629984,1,8,2500
ackley2d,0.9,1,1.3864825706899642,1.3864825706899642,630,229,9.389423131942749,0.08725772342950933,1,7,2500
ackley2d,0.9,2,4.893697727420008,4.893697727420008,630,177,11.595507144927979,0.07323908320240305,1,7,2500
ackley2d,0.9,3,5.7317852938208205,5.7317852938208205,630,93,10.142524480819702,0.04068377095603097,1,23,2500
ackley2d,0.9,4,3.6749813605328936,3.6749813605328936,630,31,11.50373101234436,0.032455773667240485,1,31,2500
ackley2d,0.9,5,2.354335340895578,2.354335340895578,630,212,10.424972772598267,0.07193157009815983,1,8,2500
