function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
branin,20,0.2,0.1,100,0.052375427876019454,35618.85959159273,630,10.004945039749146,0.45026242787601944,2500
branin,20,0.2,0.1,101,0.009019962044670815,35003.86100271875,630,9.788802862167358,0.4069069620446708,2500
branin,20,0.2,0.1,102,0.006605697787159026,33875.435125434546,630,10.573826789855957,0.404492697787159,2500
branin,20,0.2,0.1,103,0.07480380217855298,35541.256439067656,630,9.658830642700195,0.47269080217855297,2500
branin,20,0.2,0.1,104,0.006605697787159026,34782.83691515863,630,9.886023044586182,0.404492697787159,2500
branin,20,0.2,0.1,105,0.006605697787159026,34457.7143115948,630,9.886071920394897,0.404492697787159,2500
branin,20,0.2,0.1,106,0.2705594724235717,34839.15380717245,630,10.030391454696655,0.6684464724235717,2500
branin,20,0.2,0.1,107,0.009019962044670815,34025.49023367824,630,9.685184717178345,0.4069069620446708,2500
branin,20,0.2,0.1,108,0.10339752042404526,32699.14492504536,630,9.722635269165039,0.5012845204240453,2500
branin,20,0.2,0.1,109,0.006605697787159026,33450.25261166108,630,10.27098274230957,0.404492697787159,2500
branin,20,0.2,0.1,110,0.009019962044670815,35318.15537206082,630,10.111228227615356,0.4069069620446708,2500
branin,20,0.2,0.1,111,0.009019962044670815,33431.015195117936,630,10.323012828826904,0.4069069620446708,2500
branin,20,0.2,0.1,112,0.052375427876019454,33794.131218800205,630,9.578591585159302,0.45026242787601944,2500
branin,20,0.2,0.1,113,0.009019962044670815,34827.08433182029,630,10.633460521697998,0.4069069620446708,2500
branin,20,0.2,0.1,114,0.16005592324075557,36229.36163467755,630,9.467348575592041,0.5579429232407556,2500
branin,20,0.3,0.1,100,0.052375427876019454,35618.85959159273,630,10.047839879989624,0.45026242787601944,2500
branin,20,0.3,0.1,101,0.009019962044670815,35003.86100271875,630,9.770904064178467,0.4069069620446708,2500
branin,20,0.3,0.1,102,0.006605697787159026,33875.435125434546,630,10.819966554641724,0.404492697787159,2500
branin,20,0.3,0.1,103,0.07480380217855298,35541.256439067656,630,9.632593631744385,0.47269080217855297,2500
branin,20,0.3,0.1,104,0.006605697787159026,34782.83691515863,630,9.582401514053345,0.404492697787159,2500
branin,20,0.3,0.1,105,0.006605697787159026,34457.7143115948,630,9.873991012573242,0.404492697787159,2500
branin,20,0.3,0.1,106,0.2705594724235717,34839.15380717245,630,10.097180128097534,0.6684464724235717,2500
branin,20,0.3,0.1,107,0.009019962044670815,34025.49023367824,630,9.773549318313599,0.4069069620446708,2500
branin,20,0.3,0.1,108,0.10339752042404526,32699.14492504536,630,9.685861825942993,0.5012845204240453,2500
branin,20,0.3,0.1,109,0.006605697787159026,33450.25261166108,630,10.216308355331421,0.404492697787159,2500
branin,20,0.3,0.1,110,0.009019962044670815,35318.15537206082,630,10.007306575775146,0.4069069620446708,2500
branin,20,0.3,0.1,111,0.009019962044670815,33431.015195117936,630,10.10778284072876,0.4069069620446708,2500
branin,20,0.3,0.1,112,0.052375427876019454,33794.131218800205,630,9.545464992523193,0.45026242787601944,2500
branin,20,0.3,0.1,113,0.009019962044670815,34827.08433182029,630,10.64035415649414,0.4069069620446708,2500
branin,20,0.3,0.1,114,0.16005592324075557,36229.36163467755,630,9.984199523925781,0.5579429232407556,2500
branin,20,0.4,0.1,100,0.052375427876019454,35618.85959159273,630,10.0592360496521,0.45026242787601944,2500
branin,20,0.4,0.1,101,0.009019962044670815,35003.86100271875,630,9.861911058425903,0.4069069620446708,2500
branin,20,0.4,0.1,102,0.006605697787159026,33875.435125434546,630,10.908621788024902,0.404492697787159,2500
branin,20,0.4,0.1,103,0.07480380217855298,35541.256439067656,630,9.882479667663574,0.47269080217855297,2500
branin,20,0.4,0.1,104,0.006605697787159026,34782.83691515863,630,9.760112285614014,0.404492697787159,2500
branin,20,0.4,0.1,105,0.006605697787159026,34457.7143115948,630,9.830710411071777,0.404492697787159,2500
branin,20,0.4,0.1,106,0.2705594724235717,34839.15380717245,630,10.542691707611084,0.6684464724235717,2500
branin,20,0.4,0.1,107,0.009019962044670815,34025.49023367824,630,9.733838319778442,0.4069069620446708,2500
branin,20,0.4,0.1,108,0.10339752042404526,32699.14492504536,630,9.90911340713501,0.5012845204240453,2500
branin,20,0.4,0.1,109,0.006605697787159026,33450.25261166108,630,10.283898830413818,0.404492697787159,2500
branin,20,0.4,0.1,110,0.009019962044670815,35318.15537206082,630,10.07732105255127,0.4069069620446708,2500
branin,20,0.4,0.1,111,0.009019962044670815,33431.015195117936,630,10.417158126831055,0.4069069620446708,2500
branin,20,0.4,0.1,112,0.052375427876019454,33794.131218800205,630,9.751555681228638,0.45026242787601944,2500
branin,20,0.4,0.1,113,0.009019962044670815,34827.08433182029,630,10.895527362823486,0.4069069620446708,2500
branin,20,0.4,0.1,114,0.16005592324075557,36229.36163467755,630,9.186502456665039,0.5579429232407556,2500
branin,35,0.2,0.1,100,0.46165131668899917,34095.670027945045,630,9.413513422012329,0.8595383166889992,2500
branin,35,0.2,0.1,101,0.14546928279938853,36717.464801179114,630,9.75081181526184,0.5433562827993885,2500
branin,35,0.2,0.1,102,0.153086403751847,35060.99898138051,630,9.631103992462158,0.550973403751847,2500
branin,35,0.2,0.1,103,0.07480380217855298,35509.29113375818,630,9.638115406036377,0.47269080217855297,2500
branin,35,0.2,0.1,104,0.153086403751847,35300.81808646022,630,9.697150230407715,0.550973403751847,2500
branin,35,0.2,0.1,105,0.006605697787159026,33242.06386651018,630,10.124715089797974,0.404492697787159,2500
branin,35,0.2,0.1,106,0.009019962044670815,35624.02471957377,630,11.163965225219727,0.4069069620446708,2500
branin,35,0.2,0.1,107,0.006605697787159026,35324.37355299575,630,9.941286325454712,0.404492697787159,2500
branin,35,0.2,0.1,108,0.009019962044670815,34545.58587759544,630,10.134296417236328,0.4069069620446708,2500
branin,35,0.2,0.1,109,0.16005592324075557,33517.30479853945,630,9.765749216079712,0.5579429232407556,2500
branin,35,0.2,0.1,110,0.009019962044670815,32258.103340211677,630,9.991130828857422,0.4069069620446708,2500
branin,35,0.2,0.1,111,0.0972357826887994,34109.61703254026,630,10.566557168960571,0.4951227826887994,2500
branin,35,0.2,0.1,112,0.07480380217855298,34562.206938123905,630,9.690625667572021,0.47269080217855297,2500
branin,35,0.2,0.1,113,0.052375427876019454,32477.920450320034,630,10.536243915557861,0.45026242787601944,2500
branin,35,0.2,0.1,114,0.006605697787159026,34934.755080268995,630,9.512171506881714,0.404492697787159,2500
branin,35,0.3,0.1,100,0.46165131668899917,34095.670027945045,630,9.597098350524902,0.8595383166889992,2500
