method,function,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time
BPG-DS-v2,ackley2d,4,3.1094973025155785,3.1094973025155785,630,2500,10.46358609199524
BPG-DS-v2,ackley2d,5,4.893697727420008,4.893697727420008,630,2500,9.780884027481079
BPG-DS-v2,ackley2d,6,2.698705196570334,2.698705196570334,630,2500,10.852863311767578
BPG-DS-v2,ackley2d,7,2.755731254526563,2.755731254526563,630,2500,9.500388622283936
BPG-DS-v2,ackley2d,8,4.540902422752168,4.540902422752168,630,2500,10.333857774734497
BPG-DS-v2,ackley2d,9,2.8602761817469475,2.8602761817469475,630,2500,9.891383409500122
BPG-DS-v2,ackley2d,10,4.540902422752168,4.540902422752168,630,135,11.42518925666809
BPG-DS-v2,ackley2d,11,1.3864825706899642,1.3864825706899642,630,185,10.296618461608887
BPG-DS-v2,ackley2d,12,3.427434022178702,3.427434022178702,630,303,10.171560049057007
BPG-DS-v2,ackley2d,13,0.5434821566346213,0.5434821566346213,630,206,9.650434494018555
BPG-DS-v2,ackley2d,14,0.5434821566346213,0.5434821566346213,630,195,9.732908487319946
REDS,rosenbrock2d,0,0.14032331731833408,0.14032331731833408,630,2500,2.8026340007781982
REDS,rosenbrock2d,1,0.44979453757380006,0.44979453757380006,630,2500,2.64353609085083
REDS,rosenbrock2d,2,0.8069525730376466,0.8069525730376466,630,2500,2.780310869216919
REDS,rosenbrock2d,3,0.3268943715489924,0.3268943715489924,630,2500,3.411105155944824
REDS,rosenbrock2d,4,1.225335618696985,1.225335618696985,630,2500,3.4152612686157227
REDS,rosenbrock2d,5,1.225335618696985,1.225335618696985,630,2500,2.7763710021972656
REDS,rosenbrock2d,6,0.14032331731833408,0.14032331731833408,630,2500,2.7255091667175293
REDS,rosenbrock2d,7,0.14032331731833408,0.14032331731833408,630,2500,3.2599077224731445
REDS,rosenbrock2d,8,0.14032331731833408,0.14032331731833408,630,2500,2.8466837406158447
REDS,rosenbrock2d,9,0.8108165398944429,0.8108165398944429,630,2500,2.5920374393463135
REDS,rosenbrock2d,10,0.44979453757380006,0.44979453757380006,630,2500,2.807180404663086
REDS,rosenbrock2d,11,0.8069525730376466,0.8069525730376466,630,2500,2.630359172821045
REDS,rosenbrock2d,12,0.14032331731833408,0.14032331731833408,630,2500,2.690117597579956
REDS,rosenbrock2d,13,1.8146777312868216,1.8146777312868216,630,2500,3.263826370239258
REDS,rosenbrock2d,14,0.8069525730376466,0.8069525730376466,630,2500,2.814115285873413
