method,seed,best_error,best_accuracy,best_C,best_gamma,n_evaluations,total_time
REDS,0,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,16.141952991485596
REDS,1,0.011695906432748537,0.9883040935672515,2.050612244897959,0.041775510204081635,630,16.218605995178223
REDS,2,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,15.018652439117432
REDS,3,0.011695906432748537,0.9883040935672515,2.050612244897959,0.041775510204081635,630,15.487810373306274
REDS,4,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,16.096789836883545
REDS,5,0.01754385964912286,0.9824561403508771,10.213061224489795,0.021387755102040818,630,17.121872901916504
REDS,6,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,15.86699652671814
REDS,7,0.011695906432748537,0.9883040935672515,2.050612244897959,0.041775510204081635,630,15.51910924911499
REDS,8,0.011695906432748537,0.9883040935672515,2.050612244897959,0.041775510204081635,630,15.801511526107788
REDS,9,0.023391812865497075,0.9766081871345029,59.18775510204081,0.001,630,15.33223581314087
BPG-DS-v2,0,0.011695906432748537,0.9883040935672515,2.050612244897959,0.041775510204081635,630,15.50898551940918
BPG-DS-v2,1,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,15.199196100234985
BPG-DS-v2,2,0.01754385964912286,0.9824561403508771,12.253673469387754,0.021387755102040818,630,15.750552892684937
BPG-DS-v2,3,0.01754385964912286,0.9824561403508771,4.091224489795918,0.041775510204081635,630,15.550766468048096
BPG-DS-v2,4,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,15.78457522392273
BPG-DS-v2,5,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,15.706786155700684
BPG-DS-v2,6,0.011695906432748537,0.9883040935672515,6.131836734693877,0.021387755102040818,630,14.943194150924683
BPG-DS-v2,7,0.023391812865497075,0.9766081871345029,79.59387755102041,0.001,630,15.4297776222229
BPG-DS-v2,8,0.023391812865497075,0.9766081871345029,73.47204081632653,0.001,630,16.672550201416016
BPG-DS-v2,9,0.023391812865497075,0.9766081871345029,57.14714285714285,0.001,630,15.973463773727417
